Question,Intent,Response
Can I wear a dress to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Can I wear a hoodie to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Can I wear jeans to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Can I wear polo style shirts to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Can I wear pyjama pants,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Can I wear sandals,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Can I wear shorts to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Can I wear tank tops,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Can I wear tshirts to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Describe the dress code as an employee,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Does SEI have a dress code policy,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Does SEI have a uniform,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Does SEI have any clothing suggestions,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Dress code for men,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Dress code for women,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
How does an employee dress to work,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
How should I appear to work,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
How should I dress to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Is dressing in business casuals ok?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Is there a particular dress code?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Is there a strict dress code at SEI?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Should I dress in formal clothes for work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Should I wear a dress to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Should I wear a suit to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Should I wear formals to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
Should I wear suit and tie?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What do you recommend wearing on your first day?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What is the appropriate attire,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What is the best way to dress ,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What is the dress code at SEI during the internship program?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What is the dress code for the internship?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What is the dress code like?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What is the dresscode at SEI?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What is the recommended dress code,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What is the typical clothing style at SEI,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
What should I wear to work?,Dress Code,"The recommened dress code for the internship program is business casusal - i.e., no suits, ties, jackets."
 What is the schedule for internships?,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
how long does the internship program last?,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
How long is the internship commitment?,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
HOW LONG IS THE INTERNSHIP PROGRAM AND HOW IS IT STRUCTURED?,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
How long is the internship program?,Duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
How Long Will My Internship Last?,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
What are the hours of the internship?,Duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
what is the duration of internship?,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
what is the internship period,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
What is the typical length of an internship?,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
When are internships available?,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
WHEN DO YOU OFFER INTERNSHIPS ,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
When does the internship begin and end,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
When is the internship?,Duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
Which are the months of internship,duration,The internship typically begins in the first week of June and runs about 10 to 11 weeks depending on the calendar year.
thanks,Farewell,You are welcome!
thank you,Farewell,You are welcome!
thank you for the information,Farewell,You are welcome!
Thank you very much,Farewell,You are welcome!
Can I apply if my GPA is a 2.75?,GPA,We require a minimum cumulative GPA of 3.0 for the Summer Internship Program. There are certain roles that may require a higher cumulative GPA. Please be sure to review the requirements when applying. 
IS the GPA requirement cumulative or in your major(s)?,GPA,We require a minimum cumulative GPA of 3.0 for the Summer Internship Program. There are certain roles that may require a higher cumulative GPA. Please be sure to review the requirements when applying. 
Is there a GPA requirement?,GPA,We require a minimum cumulative GPA of 3.0 for the Summer Internship Program. There are certain roles that may require a higher cumulative GPA. Please be sure to review the requirements when applying. 
Requirements such as GPA to particpate in internship program,GPA,We require a minimum cumulative GPA of 3.0 for the Summer Internship Program. There are certain roles that may require a higher cumulative GPA. Please be sure to review the requirements when applying. 
What is the GPA requirement for the program?,GPA,We require a minimum cumulative GPA of 3.0 for the Summer Internship Program. There are certain roles that may require a higher cumulative GPA. Please be sure to review the requirements when applying. 
Good afternoon,Greeting,Hello! How may I help you?
Good Day!,Greeting,Hello! How may I help you?
good evening,Greeting,Hello! How may I help you?
Hello. How are you,Greeting,Hello! How may I help you?
Hey,greeting,Hello! How may I help you?
Hi,greeting,Hello! How may I help you?
Hi. My name is X,Greeting,Hello! How may I help you?
how  was your day,Greeting,Hello! How may I help you?
yo,greeting,Hello! How may I help you?
do interns get paid rental amount apart from stipend,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
do interns have to find their own place to stay ,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
do interns receive housing allowance,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
do you assist the interns to find a accomodation,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
do you assist the interns to find place to stay,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
does SEI aid housing ,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
does SEI assist in finding accomodation,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Does SEI cover housing?,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
does SEI finance housing,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
does SEI have rental accomodations available on campus,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
does SEI have rental accomodations close to campus,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
does SEI help in finding residence during the internship,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Does SEI pay for housing for its interns?,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
